Date,Coal,Gas,Wind,Solar,Nuclear,Other,Total
12/22/2023,"  83,869 ","  201,482 ","  26,518 ","  7,384 ","  93,355 ","  37,847 ","  450,456 "
12/21/2023,"  88,513 ","  201,274 ","  41,252 ","  9,472 ","  93,261 ","  37,515 ","  471,287 "
12/20/2023,"  90,876 ","  199,724 ","  56,176 ","  10,309 ","  92,586 ","  38,704 ","  488,375 "
12/19/2023,"  88,295 ","  194,360 ","  70,462 ","  11,277 ","  91,446 ","  37,509 ","  493,348 "
12/18/2023,"  80,394 ","  187,607 ","  54,685 ","  12,655 ","  92,126 ","  36,375 ","  463,843 "
12/17/2023,"  73,842 ","  177,220 ","  44,913 ","  10,276 ","  90,610 ","  34,435 ","  431,295 "
12/16/2023,"  76,468 ","  180,640 ","  44,694 ","  11,837 ","  89,632 ","  35,040 ","  438,310 "
12/15/2023,"  81,381 ","  196,864 ","  43,403 ","  12,314 ","  91,105 ","  37,115 ","  462,182 "
12/14/2023,"  82,217 ","  196,814 ","  53,577 ","  11,965 ","  92,431 ","  37,597 ","  474,601 "
12/13/2023,"  90,355 ","  201,539 ","  44,830 ","  10,592 ","  92,312 ","  38,157 ","  477,784 "
12/12/2023,"  88,069 ","  202,561 ","  48,680 ","  13,178 ","  92,766 ","  37,551 ","  482,806 "
12/11/2023,"  86,987 ","  209,081 ","  38,076 ","  13,954 ","  92,202 ","  36,263 ","  476,562 "
12/10/2023,"  71,248 ","  171,521 ","  51,277 ","  11,504 ","  92,133 ","  31,408 ","  429,092 "
12/9/2023,"  59,660 ","  148,701 ","  78,642 ","  12,518 ","  92,692 ","  31,655 ","  423,868 "
12/8/2023,"  69,493 ","  165,249 ","  75,631 ","  11,982 ","  94,493 ","  32,784 ","  449,631 "
12/7/2023,"  74,070 ","  174,643 ","  80,868 ","  12,672 ","  94,794 ","  33,907 ","  470,954 "
12/6/2023,"  77,133 ","  189,735 ","  56,284 ","  14,271 ","  94,489 ","  33,382 ","  465,295 "
12/5/2023,"  82,939 ","  199,994 ","  35,637 ","  14,073 ","  93,866 ","  31,907 ","  458,415 "
12/4/2023,"  79,155 ","  191,460 ","  37,883 ","  12,557 ","  93,802 ","  31,492 ","  446,348 "
12/3/2023,"  70,196 ","  163,353 ","  51,346 ","  9,967 ","  94,451 ","  29,782 ","  419,094 "
12/2/2023,"  73,350 ","  171,368 ","  46,477 ","  8,875 ","  94,746 ","  29,407 ","  424,222 "
12/1/2023,"  79,803 ","  195,641 ","  39,728 ","  10,670 ","  94,470 ","  32,756 ","  453,067 "
11/30/2023,"  78,372 ","  186,562 ","  63,993 ","  10,261 ","  94,070 ","  36,079 ","  469,337 "
11/29/2023,"  84,566 ","  204,956 ","  56,413 ","  13,618 ","  94,494 ","  37,764 ","  491,811 "
11/28/2023,"  85,758 ","  211,461 ","  45,199 ","  14,248 ","  93,884 ","  38,124 ","  488,675 "
11/27/2023,"  81,232 ","  201,058 ","  46,214 ","  13,328 ","  93,397 ","  36,416 ","  471,645 "
11/26/2023,"  70,657 ","  171,888 ","  54,377 ","  10,280 ","  93,191 ","  34,806 ","  435,198 "
11/25/2023,"  78,431 ","  181,179 ","  22,618 ","  12,735 ","  93,419 ","  34,984 ","  423,366 "
11/24/2023,"  67,056 ","  158,444 ","  45,225 ","  12,613 ","  93,356 ","  34,220 ","  410,914 "
11/23/2023,"  60,160 ","  149,790 ","  60,684 ","  12,958 ","  93,446 ","  31,967 ","  409,004 "
11/22/2023,"  72,743 ","  184,264 ","  40,938 ","  13,179 ","  92,452 ","  34,564 ","  438,140 "
11/21/2023,"  67,424 ","  166,514 ","  72,206 ","  10,221 ","  91,477 ","  35,275 ","  443,117 "
11/20/2023,"  68,420 ","  162,865 ","  67,533 ","  12,476 ","  90,729 ","  35,400 ","  437,421 "
11/19/2023,"  64,800 ","  144,813 ","  60,322 ","  13,930 ","  90,097 ","  29,775 ","  403,737 "
11/18/2023,"  70,855 ","  167,697 ","  28,135 ","  12,690 ","  89,439 ","  30,566 ","  399,382 "
11/17/2023,"  70,490 ","  170,100 ","  44,038 ","  11,915 ","  87,694 ","  33,209 ","  417,446 "
11/16/2023,"  64,649 ","  160,975 ","  67,066 ","  9,881 ","  84,609 ","  33,441 ","  420,621 "
11/15/2023,"  76,087 ","  186,132 ","  36,427 ","  9,072 ","  85,467 ","  35,534 ","  428,720 "
11/14/2023,"  68,666 ","  181,292 ","  48,743 ","  12,409 ","  83,615 ","  35,599 ","  430,324 "
11/13/2023,"  73,385 ","  186,324 ","  38,902 ","  11,101 ","  81,672 ","  34,877 ","  426,260 "
11/12/2023,"  67,771 ","  166,627 ","  41,885 ","  12,167 ","  81,056 ","  32,291 ","  401,797 "
11/11/2023,"  68,841 ","  174,007 ","  41,199 ","  11,650 ","  80,039 ","  30,705 ","  406,441 "
11/10/2023,"  76,053 ","  178,000 ","  33,330 ","  11,380 ","  80,738 ","  32,114 ","  411,615 "
11/9/2023,"  67,334 ","  169,402 ","  57,525 ","  12,359 ","  81,337 ","  32,316 ","  420,273 "
11/8/2023,"  63,510 ","  168,958 ","  66,848 ","  16,241 ","  80,912 ","  31,501 ","  427,969 "
11/7/2023,"  68,278 ","  159,693 ","  65,604 ","  16,500 ","  80,857 ","  31,213 ","  422,144 "
11/6/2023,"  68,245 ","  153,057 ","  62,897 ","  16,299 ","  80,542 ","  35,809 ","  416,848 "
11/5/2023,"  65,737 ","  144,421 ","  51,633 ","  14,658 ","  81,697 ","  26,554 ","  384,701 "
11/4/2023,"  76,994 ","  158,909 ","  34,147 ","  17,476 ","  80,641 ","  29,860 ","  398,028 "
11/3/2023,"  77,869 ","  160,754 ","  60,896 ","  18,024 ","  81,456 ","  31,940 ","  430,941 "
11/2/2023,"  84,447 ","  171,278 ","  52,765 ","  19,106 ","  81,629 ","  39,282 ","  448,507 "
11/1/2023,"  84,514 ","  175,753 ","  47,387 ","  17,823 ","  78,759 ","  28,708 ","  432,943 "
10/31/2023,"  82,900 ","  182,146 ","  44,722 ","  16,861 ","  79,020 ","  34,352 ","  440,001 "
10/30/2023,"  78,186 ","  176,031 ","  51,430 ","  16,000 ","  78,087 ","  34,544 ","  434,278 "
10/29/2023,"  72,471 ","  153,897 ","  57,708 ","  13,439 ","  77,895 ","  31,867 ","  407,278 "
10/28/2023,"  76,078 ","  168,450 ","  40,467 ","  15,197 ","  77,801 ","  31,120 ","  409,115 "
10/27/2023,"  69,787 ","  175,822 ","  61,030 ","  14,941 ","  77,903 ","  32,593 ","  432,076 "
10/26/2023,"  72,779 ","  178,838 ","  54,912 ","  15,588 ","  76,880 ","  33,221 ","  432,217 "
10/25/2023,"  74,657 ","  183,579 ","  47,217 ","  15,202 ","  77,574 ","  31,821 ","  430,050 "
10/24/2023,"  66,030 ","  174,613 ","  62,790 ","  16,083 ","  78,180 ","  31,458 ","  429,155 "
10/23/2023,"  65,585 ","  168,660 ","  67,426 ","  15,829 ","  78,728 ","  29,387 ","  425,615 "
10/22/2023,"  62,498 ","  156,463 ","  55,263 ","  16,303 ","  77,369 ","  26,121 ","  394,017 "
10/21/2023,"  62,775 ","  157,912 ","  54,175 ","  18,237 ","  78,057 ","  28,470 ","  399,625 "
10/20/2023,"  75,391 ","  183,638 ","  31,178 ","  18,438 ","  80,076 ","  29,844 ","  418,564 "
10/19/2023,"  72,645 ","  180,040 ","  35,525 ","  18,970 ","  81,037 ","  30,087 ","  418,303 "
10/18/2023,"  62,828 ","  161,336 ","  59,402 ","  19,650 ","  81,718 ","  30,404 ","  415,338 "
10/17/2023,"  69,806 ","  172,478 ","  38,601 ","  20,401 ","  82,155 ","  29,410 ","  412,852 "
10/16/2023,"  70,237 ","  183,058 ","  23,514 ","  19,253 ","  81,927 ","  30,244 ","  408,233 "
10/15/2023,"  57,580 ","  153,909 ","  41,270 ","  17,654 ","  82,443 ","  26,269 ","  379,125 "
10/14/2023,"  59,668 ","  159,407 ","  48,245 ","  14,041 ","  81,131 ","  30,262 ","  392,754 "
10/13/2023,"  62,564 ","  171,543 ","  60,215 ","  15,944 ","  81,048 ","  33,674 ","  424,988 "
10/12/2023,"  61,229 ","  164,944 ","  66,763 ","  15,340 ","  83,968 ","  32,162 ","  424,406 "
10/11/2023,"  66,033 ","  165,445 ","  57,854 ","  14,995 ","  84,661 ","  30,636 ","  419,624 "
10/10/2023,"  71,712 ","  174,398 ","  41,211 ","  18,069 ","  84,511 ","  31,267 ","  421,167 "
10/9/2023,"  72,916 ","  171,794 ","  30,406 ","  19,471 ","  84,235 ","  31,770 ","  410,592 "
10/8/2023,"  62,456 ","  151,363 ","  33,349 ","  20,381 ","  85,481 ","  29,154 ","  382,184 "
10/7/2023,"  66,250 ","  164,146 ","  33,127 ","  19,898 ","  86,749 ","  30,733 ","  400,902 "
10/6/2023,"  72,880 ","  186,195 ","  46,546 ","  18,304 ","  88,212 ","  33,860 ","  445,997 "
10/5/2023,"  79,987 ","  195,620 ","  40,037 ","  17,754 ","  88,457 ","  34,045 ","  455,899 "
10/4/2023,"  81,849 ","  203,284 ","  45,827 ","  18,755 ","  88,096 ","  33,096 ","  470,907 "
10/3/2023,"  76,404 ","  194,517 ","  55,713 ","  19,209 ","  87,964 ","  32,548 ","  466,354 "
10/2/2023,"  74,502 ","  195,911 ","  54,561 ","  19,537 ","  87,314 ","  32,732 ","  464,557 "
10/1/2023,"  68,831 ","  177,355 ","  55,623 ","  18,168 ","  87,245 ","  31,705 ","  438,927 "
9/30/2023,"  70,416 ","  184,211 ","  57,084 ","  16,563 ","  87,370 ","  32,412 ","  448,056 "
9/29/2023,"  70,720 ","  194,017 ","  57,515 ","  19,316 ","  89,903 ","  34,971 ","  466,442 "
9/28/2023,"  71,685 ","  195,977 ","  50,446 ","  19,006 ","  90,625 ","  33,611 ","  461,350 "
9/27/2023,"  78,480 ","  206,640 ","  34,274 ","  16,953 ","  90,705 ","  33,625 ","  460,676 "
9/26/2023,"  81,785 ","  217,236 ","  27,628 ","  19,618 ","  90,090 ","  32,711 ","  469,067 "
9/25/2023,"  85,590 ","  216,975 ","  21,580 ","  19,447 ","  90,149 ","  34,940 ","  468,680 "
9/24/2023,"  75,093 ","  187,110 ","  32,962 ","  21,332 ","  90,537 ","  32,160 ","  439,194 "
9/23/2023,"  71,339 ","  183,613 ","  47,178 ","  19,291 ","  90,053 ","  31,311 ","  442,785 "
9/22/2023,"  77,073 ","  199,295 ","  45,393 ","  18,883 ","  90,634 ","  34,817 ","  466,095 "
9/21/2023,"  80,718 ","  200,563 ","  45,155 ","  19,414 ","  90,663 ","  35,772 ","  472,284 "
9/20/2023,"  79,935 ","  198,885 ","  39,804 ","  20,590 ","  90,913 ","  35,202 ","  465,329 "
9/19/2023,"  73,527 ","  185,776 ","  53,993 ","  21,890 ","  91,097 ","  33,731 ","  460,014 "
9/18/2023,"  73,255 ","  194,703 ","  48,211 ","  21,893 ","  91,082 ","  33,892 ","  463,035 "
9/17/2023,"  76,743 ","  194,443 ","  20,401 ","  20,018 ","  90,903 ","  32,103 ","  434,612 "
9/16/2023,"  78,512 ","  197,630 ","  16,932 ","  20,337 ","  89,327 ","  33,250 ","  435,988 "
9/15/2023,"  82,597 ","  209,512 ","  21,127 ","  20,423 ","  92,207 ","  35,327 ","  461,193 "
9/14/2023,"  86,214 ","  213,942 ","  27,668 ","  20,009 ","  92,300 ","  35,695 ","  475,828 "
9/13/2023,"  92,007 ","  228,100 ","  23,945 ","  18,316 ","  92,116 ","  35,849 ","  490,331 "
9/12/2023,"  94,516 ","  235,635 ","  25,295 ","  17,180 ","  91,692 ","  36,771 ","  501,088 "
9/11/2023,"  93,848 ","  239,358 ","  29,596 ","  17,955 ","  89,003 ","  37,905 ","  507,665 "
9/10/2023,"  88,080 ","  220,091 ","  30,255 ","  17,553 ","  88,269 ","  36,378 ","  480,625 "
9/9/2023,"  88,173 ","  230,101 ","  26,969 ","  20,639 ","  92,269 ","  35,174 ","  493,325 "
9/8/2023,"  97,580 ","  247,918 ","  32,483 ","  21,837 ","  93,731 ","  37,273 ","  530,823 "
9/7/2023,"  105,644 ","  258,413 ","  35,502 ","  22,683 ","  92,623 ","  41,174 ","  556,038 "
9/6/2023,"  111,270 ","  259,676 ","  41,443 ","  23,538 ","  92,496 ","  40,855 ","  569,277 "
9/5/2023,"  105,712 ","  247,895 ","  61,132 ","  23,134 ","  92,671 ","  41,400 ","  571,944 "
9/4/2023,"  95,366 ","  211,758 ","  72,138 ","  23,022 ","  92,766 ","  37,007 ","  532,057 "
9/3/2023,"  92,860 ","  205,968 ","  54,183 ","  21,845 ","  92,703 ","  35,382 ","  502,941 "
9/2/2023,"  88,703 ","  201,327 ","  45,317 ","  19,480 ","  93,361 ","  35,786 ","  483,973 "
9/1/2023,"  88,933 ","  210,475 ","  47,430 ","  19,057 ","  94,623 ","  38,248 ","  498,765 "
8/31/2023,"  89,518 ","  220,889 ","  42,872 ","  21,934 ","  94,737 ","  41,396 ","  511,345 "
8/30/2023,"  97,902 ","  241,675 ","  31,851 ","  20,813 ","  94,540 ","  40,937 ","  527,718 "
8/29/2023,"  106,584 ","  250,972 ","  25,861 ","  21,654 ","  94,156 ","  40,197 ","  539,425 "
8/28/2023,"  105,065 ","  256,705 ","  16,477 ","  21,322 ","  93,796 ","  42,000 ","  535,365 "
8/27/2023,"  103,742 ","  242,718 ","  21,532 ","  21,685 ","  93,592 ","  39,472 ","  522,741 "
8/26/2023,"  110,777 ","  252,609 ","  32,007 ","  21,700 ","  93,587 ","  40,384 ","  551,064 "
8/25/2023,"  120,665 ","  272,784 ","  34,179 ","  22,944 ","  93,450 ","  41,684 ","  585,705 "
8/24/2023,"  123,519 ","  273,639 ","  33,050 ","  22,286 ","  93,214 ","  40,935 ","  586,644 "
8/23/2023,"  119,368 ","  261,868 ","  42,205 ","  22,448 ","  93,243 ","  40,845 ","  579,978 "
8/22/2023,"  119,720 ","  263,540 ","  38,052 ","  21,061 ","  94,231 ","  40,716 ","  577,320 "
8/21/2023,"  119,717 ","  268,242 ","  35,899 ","  19,759 ","  94,463 ","  42,383 ","  580,462 "
8/20/2023,"  108,343 ","  235,521 ","  38,800 ","  16,857 ","  94,645 ","  40,562 ","  534,728 "
8/19/2023,"  95,538 ","  214,423 ","  51,368 ","  20,281 ","  94,825 ","  40,593 ","  517,027 "
8/18/2023,"  98,559 ","  236,258 ","  48,745 ","  23,008 ","  95,544 ","  42,242 ","  544,356 "
8/17/2023,"  103,113 ","  246,449 ","  40,458 ","  22,281 ","  95,826 ","  45,379 ","  553,506 "
8/16/2023,"  104,497 ","  250,398 ","  34,287 ","  21,524 ","  95,277 ","  45,500 ","  551,483 "
8/15/2023,"  111,819 ","  265,622 ","  20,955 ","  21,393 ","  94,498 ","  52,457 ","  566,744 "
8/14/2023,"  107,979 ","  257,006 ","  44,517 ","  21,421 ","  93,358 ","  44,912 ","  569,192 "
8/13/2023,"  102,909 ","  246,968 ","  38,253 ","  22,635 ","  93,446 ","  42,375 ","  546,587 "
8/12/2023,"  106,554 ","  243,219 ","  41,569 ","  23,300 ","  93,554 ","  42,695 ","  550,891 "
8/11/2023,"  108,510 ","  249,451 ","  47,087 ","  22,807 ","  93,834 ","  44,379 ","  566,068 "
8/10/2023,"  107,967 ","  255,537 ","  36,894 ","  20,329 ","  94,656 ","  44,217 ","  559,601 "
8/9/2023,"  104,891 ","  249,160 ","  41,958 ","  22,136 ","  95,680 ","  42,985 ","  556,810 "
8/8/2023,"  105,250 ","  252,935 ","  35,954 ","  22,787 ","  95,528 ","  42,124 ","  554,578 "
8/7/2023,"  105,147 ","  258,012 ","  36,416 ","  23,236 ","  95,371 ","  41,379 ","  559,561 "
8/6/2023,"  97,903 ","  232,772 ","  44,559 ","  23,442 ","  93,872 ","  38,143 ","  530,690 "
8/5/2023,"  99,428 ","  238,066 ","  45,345 ","  24,050 ","  92,746 ","  39,840 ","  539,475 "
8/4/2023,"  109,837 ","  257,624 ","  33,735 ","  22,523 ","  93,531 ","  40,925 ","  558,177 "
8/3/2023,"  110,269 ","  254,359 ","  35,762 ","  22,887 ","  93,018 ","  39,825 ","  556,121 "
8/2/2023,"  110,914 ","  249,226 ","  38,443 ","  23,332 ","  92,584 ","  39,940 ","  554,439 "
8/1/2023,"  110,589 ","  248,339 ","  39,584 ","  21,866 ","  93,088 ","  41,625 ","  555,092 "
7/31/2023,"  111,528 ","  253,072 ","  35,030 ","  21,436 ","  93,158 ","  42,402 ","  556,626 "
7/30/2023,"  109,553 ","  237,766 ","  32,339 ","  22,042 ","  94,780 ","  38,813 ","  535,293 "
7/29/2023,"  113,312 ","  257,339 ","  38,603 ","  22,141 ","  94,693 ","  40,958 ","  567,045 "
7/28/2023,"  122,932 ","  278,020 ","  43,525 ","  22,807 ","  94,605 ","  44,271 ","  606,160 "
7/27/2023,"  122,426 ","  277,255 ","  47,466 ","  24,100 ","  94,220 ","  45,305 ","  610,772 "
7/26/2023,"  116,756 ","  267,954 ","  47,663 ","  23,970 ","  94,257 ","  44,994 ","  595,593 "
7/25/2023,"  112,614 ","  260,612 ","  51,582 ","  23,267 ","  94,037 ","  43,877 ","  585,989 "
7/24/2023,"  109,529 ","  259,005 ","  39,496 ","  23,099 ","  94,211 ","  42,792 ","  568,131 "
7/23/2023,"  103,609 ","  238,010 ","  24,923 ","  20,427 ","  94,085 ","  42,716 ","  523,770 "
7/22/2023,"  107,939 ","  244,382 ","  19,050 ","  21,797 ","  93,921 ","  42,549 ","  529,637 "
7/21/2023,"  113,025 ","  257,614 ","  31,186 ","  24,356 ","  94,603 ","  44,312 ","  565,096 "
7/20/2023,"  115,234 ","  266,571 ","  39,262 ","  24,072 ","  94,253 ","  44,589 ","  583,979 "
7/19/2023,"  111,533 ","  259,849 ","  43,225 ","  22,860 ","  94,002 ","  43,115 ","  574,584 "
7/18/2023,"  106,970 ","  256,797 ","  49,645 ","  22,727 ","  94,244 ","  42,206 ","  572,589 "
7/17/2023,"  106,269 ","  259,899 ","  41,625 ","  22,328 ","  94,474 ","  42,016 ","  566,610 "
7/16/2023,"  101,452 ","  247,126 ","  32,090 ","  21,187 ","  94,463 ","  41,338 ","  537,656 "
7/15/2023,"  107,162 ","  252,847 ","  32,449 ","  22,108 ","  94,034 ","  42,664 ","  551,262 "
7/14/2023,"  111,995 ","  266,358 ","  40,486 ","  22,681 ","  93,876 ","  44,090 ","  579,485 "
7/13/2023,"  114,848 ","  264,955 ","  41,041 ","  23,711 ","  94,025 ","  45,209 ","  583,790 "
7/12/2023,"  104,656 ","  251,809 ","  50,974 ","  24,130 ","  94,243 ","  44,455 ","  570,267 "
7/11/2023,"  105,516 ","  243,086 ","  44,476 ","  24,175 ","  94,658 ","  43,088 ","  554,998 "
7/10/2023,"  101,767 ","  238,633 ","  39,936 ","  22,707 ","  94,871 ","  41,148 ","  539,063 "
7/9/2023,"  92,642 ","  219,136 ","  33,863 ","  23,079 ","  95,408 ","  36,485 ","  500,613 "
7/8/2023,"  95,374 ","  227,814 ","  31,016 ","  22,983 ","  94,749 ","  38,219 ","  510,156 "
7/7/2023,"  101,872 ","  236,185 ","  41,930 ","  23,409 ","  94,764 ","  42,841 ","  541,002 "
7/6/2023,"  109,770 ","  251,625 ","  32,418 ","  23,548 ","  94,754 ","  43,614 ","  555,729 "
7/5/2023,"  107,445 ","  248,985 ","  41,023 ","  23,328 ","  94,808 ","  43,941 ","  559,529 "
7/4/2023,"  101,041 ","  227,577 ","  39,698 ","  24,065 ","  94,780 ","  41,272 ","  528,433 "
7/3/2023,"  104,576 ","  248,876 ","  25,699 ","  23,648 ","  94,596 ","  42,096 ","  539,491 "
7/2/2023,"  101,011 ","  233,955 ","  21,250 ","  23,284 ","  93,808 ","  40,672 ","  513,981 "
7/1/2023,"  100,308 ","  231,417 ","  30,681 ","  22,568 ","  93,370 ","  41,052 ","  519,396 "
6/30/2023,"  104,744 ","  244,824 ","  39,394 ","  23,373 ","  93,228 ","  43,993 ","  549,557 "
6/29/2023,"  100,552 ","  234,566 ","  49,379 ","  24,122 ","  91,828 ","  44,135 ","  544,583 "
6/28/2023,"  95,731 ","  223,338 ","  57,363 ","  24,507 ","  90,881 ","  42,608 ","  534,428 "
6/27/2023,"  93,432 ","  223,584 ","  50,748 ","  24,465 ","  91,061 ","  42,834 ","  526,124 "
6/26/2023,"  89,842 ","  229,639 ","  49,832 ","  24,360 ","  90,715 ","  43,767 ","  528,156 "
6/25/2023,"  80,865 ","  209,098 ","  57,425 ","  24,470 ","  90,496 ","  40,024 ","  502,377 "
6/24/2023,"  81,087 ","  208,920 ","  50,255 ","  23,806 ","  90,770 ","  40,079 ","  494,917 "
6/23/2023,"  86,651 ","  212,377 ","  39,551 ","  22,065 ","  92,024 ","  43,797 ","  496,464 "
6/22/2023,"  86,005 ","  211,447 ","  34,238 ","  21,198 ","  92,423 ","  42,289 ","  487,600 "
6/21/2023,"  85,081 ","  213,517 ","  44,256 ","  20,725 ","  92,497 ","  40,376 ","  496,452 "
6/20/2023,"  82,300 ","  213,381 ","  55,770 ","  21,667 ","  91,796 ","  41,642 ","  506,557 "
6/19/2023,"  80,973 ","  209,493 ","  53,251 ","  21,602 ","  90,713 ","  42,016 ","  498,048 "
6/18/2023,"  77,005 ","  188,876 ","  36,858 ","  23,057 ","  89,754 ","  37,621 ","  453,171 "
6/17/2023,"  77,027 ","  195,571 ","  36,060 ","  22,855 ","  89,259 ","  39,169 ","  459,941 "
6/16/2023,"  80,720 ","  214,813 ","  29,839 ","  21,862 ","  89,557 ","  43,272 ","  480,063 "
6/15/2023,"  80,579 ","  209,050 ","  41,116 ","  21,321 ","  89,513 ","  43,536 ","  485,114 "
6/14/2023,"  81,084 ","  213,250 ","  29,150 ","  21,598 ","  89,216 ","  40,318 ","  474,615 "
6/13/2023,"  77,907 ","  200,980 ","  34,754 ","  21,899 ","  89,928 ","  39,502 ","  464,970 "
6/12/2023,"  73,660 ","  201,965 ","  39,676 ","  20,591 ","  90,231 ","  39,884 ","  466,008 "
6/11/2023,"  66,942 ","  177,822 ","  47,429 ","  21,175 ","  90,084 ","  36,096 ","  439,548 "
6/10/2023,"  74,080 ","  187,001 ","  33,651 ","  22,479 ","  89,798 ","  36,138 ","  443,147 "
6/9/2023,"  78,235 ","  201,087 ","  25,941 ","  23,315 ","  90,804 ","  39,001 ","  458,383 "
6/8/2023,"  78,758 ","  204,261 ","  20,366 ","  22,700 ","  90,411 ","  41,472 ","  457,969 "
6/7/2023,"  80,895 ","  209,310 ","  19,934 ","  19,275 ","  89,990 ","  41,736 ","  461,139 "
6/6/2023,"  82,243 ","  210,285 ","  17,568 ","  21,479 ","  90,649 ","  42,283 ","  464,506 "
6/5/2023,"  77,504 ","  211,732 ","  16,949 ","  20,599 ","  90,737 ","  41,581 ","  459,101 "
6/4/2023,"  70,508 ","  188,337 ","  22,797 ","  21,594 ","  90,129 ","  38,728 ","  432,093 "
6/3/2023,"  78,313 ","  202,035 ","  25,516 ","  21,766 ","  89,220 ","  41,305 ","  458,155 "
6/2/2023,"  78,806 ","  210,074 ","  44,417 ","  22,064 ","  89,894 ","  43,977 ","  489,231 "
6/1/2023,"  76,722 ","  201,309 ","  46,795 ","  21,187 ","  91,192 ","  43,336 ","  480,540 "
5/31/2023,"  71,898 ","  191,707 ","  50,083 ","  20,688 ","  90,941 ","  43,169 ","  468,487 "
5/30/2023,"  68,966 ","  189,035 ","  40,138 ","  21,729 ","  89,765 ","  46,062 ","  455,696 "
5/29/2023,"  59,848 ","  163,108 ","  35,780 ","  22,326 ","  89,395 ","  43,416 ","  413,873 "
5/28/2023,"  51,514 ","  144,733 ","  44,857 ","  20,785 ","  88,493 ","  43,717 ","  394,100 "
5/27/2023,"  48,678 ","  141,108 ","  52,730 ","  19,883 ","  88,625 ","  44,242 ","  395,265 "
5/26/2023,"  55,062 ","  156,739 ","  53,393 ","  20,321 ","  88,960 ","  47,130 ","  421,605 "
5/25/2023,"  59,370 ","  162,448 ","  49,152 ","  21,523 ","  88,525 ","  48,143 ","  429,162 "
5/24/2023,"  66,902 ","  177,836 ","  36,651 ","  20,699 ","  87,179 ","  48,893 ","  438,159 "
5/23/2023,"  68,959 ","  184,760 ","  31,968 ","  20,964 ","  84,126 ","  50,026 ","  440,802 "
5/22/2023,"  69,130 ","  182,471 ","  31,545 ","  19,936 ","  83,590 ","  49,368 ","  436,040 "
5/21/2023,"  61,487 ","  163,092 ","  25,162 ","  18,977 ","  84,707 ","  46,910 ","  400,335 "
5/20/2023,"  61,281 ","  168,916 ","  27,741 ","  18,747 ","  83,942 ","  47,879 ","  408,506 "
5/19/2023,"  60,079 ","  168,025 ","  52,217 ","  18,741 ","  84,376 ","  51,098 ","  434,536 "
5/18/2023,"  67,183 ","  176,757 ","  35,633 ","  19,892 ","  84,747 ","  50,542 ","  434,754 "
5/17/2023,"  70,210 ","  186,359 ","  24,969 ","  21,283 ","  83,843 ","  51,374 ","  438,038 "
5/16/2023,"  70,433 ","  200,211 ","  21,126 ","  19,193 ","  83,109 ","  49,949 ","  444,020 "
5/15/2023,"  65,191 ","  191,536 ","  29,474 ","  19,946 ","  82,383 ","  50,342 ","  438,871 "
5/14/2023,"  60,061 ","  166,081 ","  38,234 ","  19,427 ","  80,775 ","  45,489 ","  410,067 "
5/13/2023,"  59,051 ","  172,426 ","  46,893 ","  18,707 ","  79,135 ","  46,212 ","  422,424 "
5/12/2023,"  62,311 ","  186,022 ","  49,977 ","  20,040 ","  79,713 ","  49,565 ","  447,627 "
5/11/2023,"  60,484 ","  176,682 ","  51,734 ","  21,501 ","  80,414 ","  47,751 ","  438,567 "
5/10/2023,"  60,565 ","  168,295 ","  53,519 ","  19,636 ","  79,750 ","  46,586 ","  428,351 "
5/9/2023,"  62,537 ","  176,027 ","  47,819 ","  20,487 ","  78,298 ","  47,289 ","  432,458 "
5/8/2023,"  63,658 ","  180,812 ","  39,986 ","  20,861 ","  78,284 ","  48,004 ","  431,604 "
5/7/2023,"  52,771 ","  150,129 ","  54,166 ","  17,804 ","  78,110 ","  42,624 ","  395,604 "
5/6/2023,"  49,128 ","  148,411 ","  57,905 ","  17,992 ","  77,381 ","  42,888 ","  393,705 "
5/5/2023,"  53,204 ","  165,026 ","  53,271 ","  19,646 ","  77,767 ","  44,144 ","  413,059 "
5/4/2023,"  56,546 ","  164,990 ","  47,300 ","  19,031 ","  78,411 ","  46,247 ","  412,525 "
5/3/2023,"  60,724 ","  173,696 ","  32,753 ","  21,009 ","  78,456 ","  44,641 ","  411,279 "
5/2/2023,"  54,694 ","  159,752 ","  57,376 ","  19,938 ","  77,995 ","  41,902 ","  411,656 "
5/1/2023,"  52,345 ","  150,409 ","  63,758 ","  21,277 ","  77,649 ","  41,539 ","  406,977 "
4/30/2023,"  47,679 ","  135,787 ","  61,954 ","  20,059 ","  75,759 ","  39,707 ","  380,943 "
4/29/2023,"  50,222 ","  143,434 ","  56,271 ","  18,539 ","  76,081 ","  40,331 ","  384,878 "
4/28/2023,"  58,863 ","  157,020 ","  59,721 ","  17,419 ","  74,946 ","  40,691 ","  408,660 "
4/27/2023,"  65,218 ","  167,462 ","  42,448 ","  18,679 ","  75,552 ","  40,359 ","  409,718 "
4/26/2023,"  68,494 ","  164,100 ","  43,505 ","  19,778 ","  75,433 ","  39,233 ","  410,542 "
4/25/2023,"  67,234 ","  160,020 ","  47,690 ","  19,283 ","  75,359 ","  38,835 ","  408,421 "
4/24/2023,"  66,738 ","  164,129 ","  42,723 ","  18,324 ","  74,522 ","  37,122 ","  403,558 "
4/23/2023,"  62,168 ","  155,213 ","  44,705 ","  17,050 ","  74,165 ","  25,646 ","  378,947 "
4/22/2023,"  55,195 ","  138,761 ","  63,932 ","  18,201 ","  74,188 ","  34,500 ","  384,777 "
